ruido_espacial_A_m,precision,n_evaluables,precision_std,recall,recall_std,f1,f1_std,verdaderos,aciertos,falsos,n_semillas,fecha,base_n_personas,base_n_paraderos,base_n_dias,base_radio_m,base_ventana_min,base_min_dias
50,0.6362084597687745,10,0.05504329796528332,0.03348333333333333,0.002214158982548453,0.06359861910437521,0.00413333605423702,60000,2009,1164,10,2026-09-02T04:53:08,60000,205,7,500,3,3
100,0.625690482877503,10,0.056281342686782865,0.03318333333333333,0.002180022935659165,0.0630092976741474,0.004124349109243366,60000,1991,1205,10,2026-09-02T04:53:08,60000,205,7,500,3,3
200,0.5993433654967995,10,0.056298244210401915,0.029683333333333332,0.0019936705400397086,0.05655240729705076,0.003787034298725952,60000,1781,1204,10,2026-09-02T04:53:08,60000,205,7,500,3,3
300,0.5344407585814908,10,0.05098409932814275,0.022350000000000002,0.001698774067771619,0.04289889869873199,0.003250525336588561,60000,1341,1177,10,2026-09-02T04:53:08,60000,205,7,500,3,3
400,0.44681001216235244,10,0.05998259888281819,0.015116666666666667,0.0012225883290062198,0.02923603129919459,0.002382331719818671,60000,907,1143,10,2026-09-02T04:53:08,60000,205,7,500,3,3
600,0.2782396310671087,10,0.05103059761693571,0.0058,0.0008589399151150085,0.01135658698616659,0.0016706473395518395,60000,348,929,10,2026-09-02T04:53:08,60000,205,7,500,3,3
