dispersion_vagabundeo_m,precision,n_evaluables,precision_std,recall,recall_std,f1,f1_std,verdaderos,aciertos,falsos,n_semillas,fecha,base_n_personas,base_n_paraderos,base_n_dias,base_radio_m,base_ventana_min,base_min_dias
500,0.05608155103256779,10,0.010836895615926856,0.006066666666666666,0.0016918103387266025,0.010932441717912788,0.0029451213735829066,60000,364,6047,10,2026-09-02T07:30:58,60000,205,7,500,3,3
1000,0.17276012675560262,10,0.018761701991998194,0.016133333333333333,0.002637128067509131,0.029490340596071602,0.0046700232432502885,60000,968,4619,10,2026-09-02T07:30:58,60000,205,7,500,3,3
2000,0.5344407585814908,10,0.05098409932814275,0.022350000000000002,0.001698774067771619,0.04289889869873199,0.003250525336588561,60000,1341,1177,10,2026-09-02T07:30:58,60000,205,7,500,3,3
5000,0.7968575008470822,10,0.03642175479543472,0.02325,0.0016869597900760216,0.045179951322449605,0.003238212586650768,60000,1395,354,10,2026-09-02T07:30:58,60000,205,7,500,3,3
20000,0.81940994714534,10,0.03369260866636973,0.0234,0.0017275544693133257,0.04549800340958713,0.0033097044125804803,60000,1404,308,10,2026-09-02T07:30:58,60000,205,7,500,3,3
