frac_con_cdr,precision,n_evaluables,precision_std,recall,recall_std,f1,f1_std,verdaderos,aciertos,falsos,n_semillas,fecha,base_n_personas,base_n_paraderos,base_n_dias,base_radio_m,base_ventana_min,base_min_dias
0.0066,0.5414478414303424,10,0.1376101582400689,0.025757575757575757,0.009635749509262078,0.04912739896737951,0.018102003089873687,3960,102,82,10,2026-09-02T07:12:54,60000,205,7,500,3,3
0.02,0.5179044679009456,10,0.10241978713973193,0.018833333333333334,0.003460089915337783,0.03629300665363824,0.00654008494617611,12000,226,222,10,2026-09-02T07:12:54,60000,205,7,500,3,3
0.05,0.5214052885085778,10,0.06600028365653532,0.02196666666666667,0.002975641854196241,0.04215074153336137,0.005670501921987667,30000,659,606,10,2026-09-02T07:12:54,60000,205,7,500,3,3
0.1,0.5344407585814908,10,0.05098409932814275,0.022350000000000002,0.001698774067771619,0.04289889869873199,0.003250525336588561,60000,1341,1177,10,2026-09-02T07:12:54,60000,205,7,500,3,3
0.3,0.5753481166889003,10,0.05508790238553419,0.022033333333333332,0.0016001928896075678,0.04243850281014107,0.0031056094747770008,180000,3966,2947,10,2026-09-02T07:12:54,60000,205,7,500,3,3
1.0,0.6189777313530974,10,0.03981940450837728,0.020530000000000003,0.0020200632553352272,0.03973762635187405,0.0038581661790120635,600000,12318,7562,10,2026-09-02T07:12:54,60000,205,7,500,3,3
