radio_m,ventana_min,min_dias,observados,azar,azar_std,exceso,n_repeticiones,precision,recall,f1,aciertos,predichos,verdaderos
400,5,2,762,626.3,17.175855146105533,135.70000000000005,10,0.46194225721784776,0.058666666666666666,0.10411120970127181,352,762,6000
400,5,3,285,150.6,8.811356308764276,134.4,10,0.6701754385964912,0.03183333333333333,0.06077963404932378,191,285,6000
400,5,4,41,5.5,2.0615528128088303,35.5,10,0.9024390243902439,0.006166666666666667,0.012249627545108426,37,41,6000
400,5,5,2,0.0,0.0,2.0,10,1.0,0.0003333333333333333,0.0006664445184938354,2,2,6000
400,10,2,676,507.1,27.123605954961075,168.89999999999998,10,0.5325443786982249,0.06,0.1078490113840623,360,676,6000
400,10,3,435,304.6,18.559094805512473,130.39999999999998,10,0.6413793103448275,0.0465,0.08671328671328671,279,435,6000
400,10,4,84,26.7,3.6891733491393435,57.3,10,0.9523809523809523,0.013333333333333334,0.026298487836949377,80,84,6000
400,10,5,9,1.7,0.9,7.3,10,1.0,0.0015,0.0029955067398901645,9,9,6000
500,1,2,788,734.6,15.825296205758677,53.39999999999998,10,0.14086294416243655,0.0185,0.03270477312905127,111,788,6000
500,1,3,31,11.3,3.348133808556641,19.7,10,0.45161290322580644,0.0023333333333333335,0.004642679489305256,14,31,6000
500,1,4,1,0.1,0.30000000000000004,0.9,10,1.0,0.00016666666666666666,0.00033327778703549406,1,1,6000
500,1,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
500,2,2,820,792.0,22.36515146382872,28.0,10,0.2304878048780488,0.0315,0.05542521994134897,189,820,6000
500,2,3,127,66.9,8.129575634681062,60.099999999999994,10,0.47244094488188976,0.01,0.019585441488493553,60,127,6000
500,2,4,4,0.6,0.6633249580710799,3.4,10,1.0,0.0006666666666666666,0.0013324450366422385,4,4,6000
500,2,5,0,0.1,0.30000000000000004,-0.1,10,,0.0,0.0,0,0,6000
500,3,2,770,698.0,21.340103092534488,72.0,10,0.3142857142857143,0.04033333333333333,0.07149187592319055,242,770,6000
500,3,3,235,151.9,11.562439189029277,83.1,10,0.5404255319148936,0.021166666666666667,0.04073777064955894,127,235,6000
500,3,4,18,2.5,1.5652475842498528,15.5,10,0.8888888888888888,0.0026666666666666666,0.005317381189764041,16,18,6000
500,3,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
500,5,2,746,611.0,16.13071604114337,135.0,10,0.4383378016085791,0.0545,0.09694633857100504,327,746,6000
