ventana_min,precision,n_evaluables,precision_std,recall,recall_std,f1,f1_std,verdaderos,aciertos,falsos,n_semillas,fecha,base_n_personas,base_n_paraderos,base_n_dias,base_radio_m,base_ventana_min,base_min_dias
1,0.4859459656862034,10,0.12437520201027671,0.003,0.0009159087776022723,0.005960239665225177,0.001814447991113833,60000,180,200,10,2026-09-02T05:32:17,60000,205,7,500,3,3
2,0.5062550084621467,10,0.10003889803933055,0.011483333333333335,0.0013590233421264125,0.022448918273171418,0.0026793109988610246,60000,689,703,10,2026-09-02T05:32:17,60000,205,7,500,3,3
3,0.5344407585814908,10,0.05098409932814275,0.022350000000000002,0.001698774067771619,0.04289889869873199,0.003250525336588561,60000,1341,1177,10,2026-09-02T05:32:17,60000,205,7,500,3,3
5,0.5797286200037004,10,0.026749093358727716,0.04083333333333333,0.0027028791233711423,0.07627014287436737,0.004808805908164884,60000,2450,1782,10,2026-09-02T05:32:17,60000,205,7,500,3,3
10,0.5779196511029792,10,0.03188279350430694,0.054933333333333334,0.005604165117719735,0.10020220894244695,0.009218230379902896,60000,3296,2432,10,2026-09-02T05:32:17,60000,205,7,500,3,3
15,0.5004471896610784,10,0.0257928675453014,0.04336666666666667,0.0059094086938636355,0.07971417857469114,0.01004864095189336,60000,2602,2602,10,2026-09-02T05:32:17,60000,205,7,500,3,3
