velocidad_m_min,precision,n_evaluables,precision_std,recall,recall_std,f1,f1_std,verdaderos,aciertos,falsos,n_semillas,fecha,base_n_personas,base_n_paraderos,base_n_dias,base_radio_m,base_ventana_min,base_min_dias
40,0.4395183993493448,10,0.05199873935513761,0.020016666666666665,0.002060811598483579,0.03828257182579615,0.003930192420736681,60000,1201,1541,10,2026-09-02T04:32:38,60000,205,7,500,3,3
80,0.5344407585814908,10,0.05098409932814275,0.022350000000000002,0.001698774067771619,0.04289889869873199,0.003250525336588561,60000,1341,1177,10,2026-09-02T04:32:38,60000,205,7,500,3,3
160,0.5890639601969193,10,0.06053071630684441,0.020300000000000002,0.0011518101695447331,0.03923793837675572,0.0022242281091382037,60000,1218,865,10,2026-09-02T04:32:38,60000,205,7,500,3,3
330,0.4027052120971607,10,0.057650003948034136,0.008783333333333334,0.0011739061101960222,0.017184260959514648,0.002274939216106297,60000,527,798,10,2026-09-02T04:32:38,60000,205,7,500,3,3
