n_dias,precision,n_evaluables,precision_std,recall,recall_std,f1,f1_std,verdaderos,aciertos,falsos,n_semillas,fecha,base_n_personas,base_n_paraderos,base_n_dias,base_radio_m,base_ventana_min,base_min_dias
2,,0,,0.0,0.0,0.0,0.0,47918,0,0,10,2026-09-02T06:42:52,60000,205,7,500,3,3
3,0.5378711484593837,10,0.18718224426386942,0.0013303839632278912,0.0006007038186189684,0.0026532764771004195,0.001196706556730497,53320,71,62,10,2026-09-02T06:42:52,60000,205,7,500,3,3
5,0.519747551281982,10,0.09248606704848783,0.008727751953362397,0.0014094117453925556,0.017161594331069153,0.002760030086930251,57398,501,475,10,2026-09-02T06:42:52,60000,205,7,500,3,3
7,0.5344407585814908,10,0.05098409932814275,0.022350000000000002,0.001698774067771619,0.04289889869873199,0.003250525336588561,60000,1341,1177,10,2026-09-02T06:42:52,60000,205,7,500,3,3
14,0.639575172229155,10,0.025898832457600548,0.10315,0.009836567264831547,0.17755100684567704,0.01546631068684799,60000,6189,3474,10,2026-09-02T06:42:52,60000,205,7,500,3,3
21,0.7128524867994676,10,0.013062266803033767,0.18655,0.01367053806955349,0.29545993187113934,0.017546196747635683,60000,11193,4510,10,2026-09-02T06:42:52,60000,205,7,500,3,3
30,0.8028285268647679,10,0.014332840604484698,0.28065,0.01905743511948377,0.4154479625830064,0.02050178279285529,60000,16839,4151,10,2026-09-02T06:42:52,60000,205,7,500,3,3
